sku,brand,name,swapGroup,matrixCell,top25,top25Rank,servings,subscriptionEligible,consumption,occPerMonth,formats,dietaryTags,hasStimulants,contraindications,actives,weightGrams,flavourVariants,variantSkus
P41624,SciTec,100% Whey Protein Professional,protein-whey,default-whey,TRUE,1,16,TRUE,daily,30,powder,gluten-free,FALSE,milk allergy,whey protein 22g/serving,530,7,"P41624,P43287,P41625,P42869,P43344,P47043,P46513"
P6243,Olimp Nutrition,Creatine Monohydrate Powder - 250g,creatine,default-creatine,TRUE,2,50,TRUE,daily,30,powder,vegan,FALSE,,creatine monohydrate 5g/serving,305,1,P6243
P4614,NOW Foods,ZMA - Sports Recovery - 90 vcaps,zma,default-zma,TRUE,3,30,TRUE,daily,30,capsule,vegan,FALSE,"zinc-copper interaction, pregnancy","zinc 30mg, magnesium 450mg, B6 10.5mg",140,1,P4614
P47499,Osavi,Super Strong Omega 3,omega-3,default-omega3,TRUE,4,60,TRUE,daily,30,capsule,,FALSE,blood thinners,"EPA 500mg, DHA 250mg per serving",116,1,P47499
P51016,OstroVit,Vitamin D3 + K2 - 90 softgels,vitamin-d,default-vitd,TRUE,5,90,TRUE,daily,30,capsule,,FALSE,blood thinners (warfarin),"vitamin D3 4000IU, K2 150mcg",60,1,P51016
P48633,Applied Nutrition,Hydration+,electrolytes,default-electrolytes,TRUE,6,20,TRUE,per-workout,15,powder,,FALSE,,"sodium 500mg, potassium 200mg per serving",330,4,"P48633,P48636,P48637,P48638"
P46673,Applied Nutrition,Endurance Breathe Isotonic Energy Gel,energy-gel,default-gel,TRUE,7,20,TRUE,per-workout,8,gel,vegan,FALSE,,carbohydrate 22g/serving,1230,8,"P46673,P42987,P45757,P46672,P45913,P50744,P50781,P45251"
P34137,NOW Foods,Probiotic-10 & Bifido Boost - 90 vcaps,probiotic,default-probiotic,TRUE,8,50,TRUE,daily,30,capsule,vegetarian,FALSE,immunocompromised - consult doctor,"10 probiotic strains, 25 billion CFU",110,1,P34137
P37828,BioTechUSA,Vegan Protein,protein-plant,default-plant,TRUE,9,16,TRUE,daily,30,powder,vegan,FALSE,,pea + rice protein blend 20g/serving,525,6,"P37828,P36120,P36122,P37829,P43290,P36124"
P44491,BioTechUSA,Vegan Multivitamin - 60 tablets,multivitamin,default-multi,TRUE,10,30,TRUE,daily,30,capsule,vegan,FALSE,pregnancy - consult doctor for dosing,full-spectrum vitamins & minerals,125,1,P44491
